SeniorCitizenRelevel,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,AdditionalInternetServicesCount,StreamingServicesCount,MC_x_Additional,MC_x_Streaming
No,Yes,Yes,23,Fiber optic,Month-to-month,No,Electronic check,85.6,No,0,1,0.0,85.6
No,Yes,Yes,72,DSL,Two year,Yes,Electronic check,80.8,No,3,2,242.39999999999998,161.6
No,No,No,21,No,Two year,No,Mailed check,19.6,No,0,0,0.0,0.0
Yes,No,No,31,Fiber optic,Month-to-month,Yes,Electronic check,90.7,No,1,1,90.7,90.7
No,No,No,57,DSL,Two year,No,Mailed check,69.75,No,3,1,209.25,69.75
No,Yes,Yes,45,No,Two year,Yes,Bank transfer (automatic),20.0,No,0,0,0.0,0.0
No,No,No,10,Fiber optic,Month-to-month,Yes,Electronic check,95.25,No,2,1,190.5,95.25
No,No,Yes,14,No,Month-to-month,No,Mailed check,19.95,No,0,0,0.0,0.0
No,Yes,No,27,DSL,One year,No,Mailed check,80.85,No,2,2,161.7,161.7
No,Yes,Yes,69,Fiber optic,Two year,Yes,Bank transfer (automatic),93.3,No,2,1,186.6,93.3
No,Yes,Yes,35,DSL,Two year,Yes,Credit card (automatic),46.35,No,2,1,92.7,46.35
No,Yes,Yes,45,DSL,One year,No,Credit card (automatic),78.75,No,2,2,157.5,157.5
No,No,No,17,Fiber optic,Month-to-month,Yes,Electronic check,83.55,No,1,1,83.55,83.55
No,No,No,22,No,One year,No,Mailed check,19.6,No,0,0,0.0,0.0
No,Yes,Yes,67,DSL,Two year,No,Mailed check,67.85,No,3,1,203.54999999999998,67.85
No,Yes,Yes,67,Fiber optic,Two year,Yes,Bank transfer (automatic),105.65,No,2,2,211.3,211.3
Yes,No,No,9,Fiber optic,Month-to-month,No,Credit card (automatic),75.5,No,1,0,75.5,0.0
No,No,No,5,No,Month-to-month,No,Mailed check,20.15,No,0,0,0.0,0.0
No,No,No,54,DSL,Two year,No,Credit card (automatic),45.2,No,2,1,90.4,45.2
No,Yes,Yes,70,DSL,Two year,Yes,Bank transfer (automatic),79.25,No,4,1,317.0,79.25
No,Yes,Yes,53,DSL,Month-to-month,No,Electronic check,85.7,No,3,2,257.1,171.4
No,No,Yes,31,No,One year,No,Credit card (automatic),20.1,No,0,0,0.0,0.0
No,Yes,Yes,13,DSL,Month-to-month,No,Bank transfer (automatic),61.8,No,3,0,185.39999999999998,0.0
No,Yes,Yes,28,DSL,Month-to-month,No,Mailed check,49.9,No,0,0,0.0,0.0
No,Yes,No,38,No,Two year,No,Bank transfer (automatic),20.4,No,0,0,0.0,0.0
No,Yes,No,52,DSL,One year,Yes,Mailed check,75.4,No,2,2,150.8,150.8
No,Yes,Yes,62,Fiber optic,Two year,No,Mailed check,108.15,No,4,2,432.6,216.3
No,No,No,16,Fiber optic,Month-to-month,Yes,Electronic check,86.25,No,1,1,86.25,86.25
No,No,No,12,Fiber optic,One year,No,Electronic check,95.7,No,1,2,95.7,191.4
No,Yes,Yes,72,Fiber optic,Two year,Yes,Bank transfer (automatic),116.85,No,4,2,467.4,233.7
Yes,No,No,71,Fiber optic,One year,No,Bank transfer (automatic),105.75,No,2,2,211.5,211.5
No,Yes,No,24,No,One year,No,Mailed check,20.15,No,0,0,0.0,0.0
No,No,No,15,No,Two year,No,Mailed check,19.6,No,0,0,0.0,0.0
No,No,Yes,2,DSL,Month-to-month,No,Bank transfer (automatic),60.95,No,2,0,121.9,0.0
No,Yes,Yes,5,DSL,Month-to-month,No,Mailed check,25.05,No,0,0,0.0,0.0
No,Yes,Yes,41,DSL,One year,Yes,Bank transfer (automatic),60.3,No,3,0,180.89999999999998,0.0
No,No,Yes,43,DSL,Month-to-month,Yes,Electronic check,63.95,No,2,1,127.9,63.95
Yes,Yes,No,1,Fiber optic,Month-to-month,No,Electronic check,74.3,No,0,0,0.0,0.0
Yes,No,No,1,Fiber optic,Month-to-month,Yes,Mailed check,70.6,No,0,0,0.0,0.0
No,Yes,No,71,DSL,Two year,No,Bank transfer (automatic),90.55,No,4,2,362.2,181.1
No,No,No,7,No,Two year,No,Mailed check,19.45,No,0,0,0.0,0.0
Yes,No,No,28,DSL,Month-to-month,No,Bank transfer (automatic),64.45,No,3,0,193.35000000000002,0.0
Yes,No,No,16,Fiber optic,Month-to-month,No,Electronic check,69.65,No,0,0,0.0,0.0
No,No,No,7,No,One year,No,Mailed check,19.5,No,0,0,0.0,0.0
No,No,No,69,Fiber optic,Two year,Yes,Bank transfer (automatic),110.5,No,3,2,331.5,221.0
No,No,Yes,1,DSL,Month-to-month,No,Mailed check,24.7,No,0,0,0.0,0.0
No,No,No,3,DSL,Month-to-month,Yes,Electronic check,77.4,No,2,2,154.8,154.8
No,Yes,No,69,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),85.4,No,2,0,170.8,0.0
No,Yes,No,71,DSL,Two year,Yes,Bank transfer (automatic),47.6,No,4,0,190.4,0.0
No,Yes,Yes,69,No,Two year,No,Mailed check,19.4,No,0,0,0.0,0.0
No,No,No,48,Fiber optic,Month-to-month,Yes,Electronic check,103.85,No,2,2,207.7,207.7
No,No,No,45,Fiber optic,Month-to-month,Yes,Credit card (automatic),108.45,No,3,2,325.35,216.9
No,No,No,51,Fiber optic,Month-to-month,No,Bank transfer (automatic),81.0,No,1,0,81.0,0.0
No,No,No,72,DSL,Two year,No,Bank transfer (automatic),86.65,No,4,2,346.6,173.3
No,Yes,Yes,37,Fiber optic,Month-to-month,Yes,Electronic check,92.95,No,2,1,185.9,92.95
No,Yes,Yes,71,DSL,Two year,No,Electronic check,90.35,No,4,2,361.4,180.7
No,No,No,66,No,Two year,Yes,Credit card (automatic),25.15,No,0,0,0.0,0.0
No,Yes,Yes,51,DSL,One year,Yes,Bank transfer (automatic),76.4,No,2,2,152.8,152.8
No,Yes,Yes,30,No,One year,No,Bank transfer (automatic),19.55,No,0,0,0.0,0.0
No,No,No,34,Fiber optic,Month-to-month,No,Electronic check,85.35,No,0,1,0.0,85.35
No,Yes,Yes,64,No,Two year,Yes,Mailed check,24.8,No,0,0,0.0,0.0
Yes,Yes,No,65,Fiber optic,One year,Yes,Bank transfer (automatic),103.15,No,2,2,206.3,206.3
No,No,No,47,Fiber optic,Month-to-month,No,Mailed check,100.75,No,3,1,302.25,100.75
No,Yes,Yes,67,Fiber optic,Two year,No,Credit card (automatic),94.1,No,2,1,188.2,94.1
No,No,Yes,39,No,One year,No,Bank transfer (automatic),19.35,No,0,0,0.0,0.0
No,No,No,14,No,Month-to-month,No,Mailed check,19.9,No,0,0,0.0,0.0
Yes,No,No,56,Fiber optic,Month-to-month,Yes,Electronic check,101.05,No,1,2,101.05,202.1
No,No,No,14,DSL,One year,No,Credit card (automatic),59.1,No,1,1,59.1,59.1
No,Yes,Yes,16,DSL,One year,Yes,Mailed check,55.85,No,2,0,111.7,0.0
No,Yes,Yes,70,Fiber optic,Month-to-month,Yes,Electronic check,106.05,No,2,2,212.1,212.1
Yes,Yes,No,72,DSL,Two year,Yes,Credit card (automatic),84.1,No,3,2,252.29999999999998,168.2
No,Yes,Yes,23,Fiber optic,Month-to-month,Yes,Credit card (automatic),75.3,No,1,0,75.3,0.0
No,No,Yes,21,No,Month-to-month,No,Mailed check,24.7,No,0,0,0.0,0.0
No,No,No,36,DSL,One year,No,Electronic check,55.8,No,1,0,55.8,0.0
No,No,No,50,DSL,Two year,No,Credit card (automatic),39.7,No,3,0,119.10000000000001,0.0
No,Yes,Yes,48,DSL,Month-to-month,Yes,Credit card (automatic),29.5,No,1,0,29.5,0.0
No,No,Yes,50,No,Two year,No,Credit card (automatic),20.15,No,0,0,0.0,0.0
No,Yes,No,72,DSL,Two year,No,Credit card (automatic),79.55,No,4,1,318.2,79.55
No,No,Yes,10,No,Month-to-month,No,Credit card (automatic),24.8,No,0,0,0.0,0.0
No,No,No,18,No,Month-to-month,No,Mailed check,19.65,No,0,0,0.0,0.0
No,No,No,9,Fiber optic,Month-to-month,Yes,Electronic check,94.05,No,1,2,94.05,188.1
No,No,No,2,Fiber optic,Month-to-month,No,Mailed check,90.75,No,1,1,90.75,90.75
No,Yes,No,40,Fiber optic,Month-to-month,Yes,Credit card (automatic),78.85,No,1,0,78.85,0.0
No,Yes,No,69,Fiber optic,One year,No,Bank transfer (automatic),99.5,No,1,2,99.5,199.0
No,No,Yes,18,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.55,No,1,0,80.55,0.0
Yes,Yes,No,11,Fiber optic,Month-to-month,Yes,Electronic check,70.2,No,0,0,0.0,0.0
No,Yes,Yes,55,DSL,One year,No,Credit card (automatic),59.45,No,1,1,59.45,59.45
No,Yes,No,33,Fiber optic,Month-to-month,Yes,Electronic check,93.35,No,2,1,186.7,93.35
No,No,No,46,DSL,Month-to-month,No,Bank transfer (automatic),44.95,No,0,0,0.0,0.0
No,No,No,34,No,Two year,No,Bank transfer (automatic),26.1,No,0,0,0.0,0.0
No,No,No,3,No,Month-to-month,No,Electronic check,20.2,No,0,0,0.0,0.0
No,Yes,Yes,30,No,Two year,No,Mailed check,21.25,No,0,0,0.0,0.0
No,No,No,33,DSL,One year,No,Electronic check,59.4,No,2,0,118.8,0.0
No,Yes,Yes,45,Fiber optic,One year,Yes,Credit card (automatic),95.0,No,2,1,190.0,95.0
No,No,No,40,DSL,Month-to-month,Yes,Mailed check,61.9,No,3,0,185.7,0.0
No,No,No,71,Fiber optic,Two year,Yes,Electronic check,118.65,No,4,2,474.6,237.3
No,Yes,Yes,72,DSL,Two year,No,Bank transfer (automatic),64.45,No,4,2,257.8,128.9
No,Yes,Yes,22,Fiber optic,Month-to-month,Yes,Electronic check,80.15,No,0,1,0.0,80.15
No,Yes,Yes,46,No,One year,Yes,Bank transfer (automatic),20.2,No,0,0,0.0,0.0
No,Yes,Yes,55,No,Two year,No,Mailed check,21.0,No,0,0,0.0,0.0
No,No,No,1,No,Month-to-month,No,Mailed check,20.45,No,0,0,0.0,0.0
No,No,No,12,DSL,One year,Yes,Mailed check,75.85,No,1,2,75.85,151.7
No,No,No,31,Fiber optic,Month-to-month,Yes,Electronic check,80.45,No,1,0,80.45,0.0
No,Yes,Yes,67,DSL,Two year,Yes,Electronic check,75.5,No,1,2,75.5,151.0
No,No,No,1,DSL,Month-to-month,No,Mailed check,44.45,No,0,0,0.0,0.0
No,Yes,Yes,41,DSL,Month-to-month,Yes,Credit card (automatic),74.55,No,3,1,223.64999999999998,74.55
No,Yes,Yes,42,DSL,Two year,No,Credit card (automatic),48.15,No,3,1,144.45,48.15
No,Yes,Yes,23,No,One year,No,Mailed check,19.65,No,0,0,0.0,0.0
No,No,No,1,No,Month-to-month,No,Mailed check,20.15,No,0,0,0.0,0.0
No,No,No,56,Fiber optic,Month-to-month,Yes,Credit card (automatic),106.6,No,2,2,213.2,213.2
No,No,Yes,15,Fiber optic,Month-to-month,Yes,Electronic check,91.0,No,1,1,91.0,91.0
No,Yes,Yes,12,No,Two year,Yes,Bank transfer (automatic),25.4,No,0,0,0.0,0.0
No,Yes,Yes,54,DSL,Two year,No,Bank transfer (automatic),69.95,No,3,1,209.85000000000002,69.95
No,No,No,7,DSL,Month-to-month,Yes,Electronic check,66.85,No,0,2,0.0,133.7
No,Yes,Yes,16,No,Month-to-month,No,Electronic check,20.15,No,0,0,0.0,0.0
No,No,Yes,21,DSL,One year,No,Mailed check,64.85,No,2,1,129.7,64.85
Yes,Yes,No,30,DSL,Two year,No,Electronic check,74.85,No,1,2,74.85,149.7
No,No,No,3,DSL,Month-to-month,Yes,Mailed check,50.5,No,1,0,50.5,0.0
No,No,No,11,Fiber optic,Month-to-month,No,Electronic check,72.9,No,1,0,72.9,0.0
No,No,No,62,Fiber optic,One year,Yes,Credit card (automatic),115.05,No,4,2,460.2,230.1
No,No,No,18,No,Month-to-month,No,Electronic check,19.0,No,0,0,0.0,0.0
No,No,Yes,6,No,Month-to-month,No,Mailed check,19.55,No,0,0,0.0,0.0
No,No,No,46,Fiber optic,One year,Yes,Electronic check,101.1,No,1,2,101.1,202.2
No,No,No,21,Fiber optic,Month-to-month,Yes,Electronic check,84.1,No,0,1,0.0,84.1
No,No,No,68,No,Two year,Yes,Bank transfer (automatic),24.15,No,0,0,0.0,0.0
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,50.1,No,0,0,0.0,0.0
No,Yes,No,25,Fiber optic,Month-to-month,Yes,Electronic check,74.6,No,1,0,74.6,0.0
No,No,Yes,24,No,Two year,No,Mailed check,19.75,No,0,0,0.0,0.0
No,Yes,No,51,Fiber optic,One year,Yes,Bank transfer (automatic),106.8,No,2,2,213.6,213.6
No,Yes,Yes,57,DSL,Two year,Yes,Electronic check,84.5,No,3,2,253.5,169.0
No,No,No,15,No,Two year,No,Bank transfer (automatic),25.05,No,0,0,0.0,0.0
No,Yes,Yes,72,DSL,Two year,Yes,Bank transfer (automatic),83.7,No,4,2,334.8,167.4
No,Yes,No,28,Fiber optic,Month-to-month,No,Credit card (automatic),96.6,No,2,1,193.2,96.6
No,Yes,Yes,70,Fiber optic,Two year,Yes,Credit card (automatic),101.1,No,4,1,404.4,101.1
No,No,No,13,No,One year,No,Mailed check,20.2,No,0,0,0.0,0.0
Yes,Yes,No,59,Fiber optic,One year,Yes,Electronic check,94.05,No,4,0,376.2,0.0
No,Yes,No,62,DSL,Two year,No,Mailed check,81.0,No,3,2,243.0,162.0
No,No,No,21,DSL,One year,Yes,Electronic check,60.25,No,3,0,180.75,0.0
No,No,No,2,DSL,Month-to-month,No,Electronic check,60.85,No,1,1,60.85,60.85
No,No,No,1,DSL,Month-to-month,No,Credit card (automatic),43.95,No,0,0,0.0,0.0
No,No,No,4,Fiber optic,Month-to-month,No,Electronic check,86.05,No,1,1,86.05,86.05
No,No,No,19,No,One year,No,Credit card (automatic),20.25,No,0,0,0.0,0.0
No,Yes,Yes,67,No,Two year,Yes,Credit card (automatic),19.4,No,0,0,0.0,0.0
Yes,Yes,No,72,Fiber optic,Two year,Yes,Credit card (automatic),102.65,No,3,1,307.95000000000005,102.65
No,Yes,No,53,No,Two year,No,Credit card (automatic),19.9,No,0,0,0.0,0.0
No,No,No,5,No,One year,No,Electronic check,19.55,No,0,0,0.0,0.0
Yes,Yes,No,71,Fiber optic,Two year,Yes,Credit card (automatic),95.5,No,3,1,286.5,95.5
No,Yes,Yes,50,DSL,One year,Yes,Credit card (automatic),84.15,No,3,2,252.45000000000002,168.3
No,Yes,Yes,56,Fiber optic,Two year,Yes,Electronic check,103.2,No,2,2,206.4,206.4
No,No,No,2,DSL,Month-to-month,Yes,Credit card (automatic),50.2,No,1,0,50.2,0.0
No,Yes,Yes,46,No,Two year,No,Credit card (automatic),19.95,No,0,0,0.0,0.0
No,Yes,No,71,Fiber optic,Two year,Yes,Electronic check,116.25,No,4,2,465.0,232.5
No,No,No,29,DSL,Month-to-month,Yes,Electronic check,31.2,No,1,0,31.2,0.0
No,Yes,Yes,69,No,Two year,No,Bank transfer (automatic),24.45,No,0,0,0.0,0.0
No,Yes,No,71,DSL,Two year,No,Credit card (automatic),84.2,No,3,2,252.60000000000002,168.4
Yes,Yes,No,56,DSL,Two year,Yes,Bank transfer (automatic),85.65,No,4,2,342.6,171.3
No,No,Yes,56,No,One year,Yes,Mailed check,21.2,No,0,0,0.0,0.0
No,Yes,No,28,No,One year,No,Mailed check,25.55,No,0,0,0.0,0.0
No,Yes,Yes,19,No,Month-to-month,No,Mailed check,20.2,No,0,0,0.0,0.0
No,Yes,No,66,DSL,Month-to-month,No,Electronic check,63.85,No,1,1,63.85,63.85
No,Yes,Yes,17,DSL,One year,Yes,Mailed check,61.95,No,2,0,123.9,0.0
No,Yes,Yes,52,No,Two year,No,Mailed check,25.75,No,0,0,0.0,0.0
No,No,No,19,DSL,One year,No,Electronic check,58.2,No,1,1,58.2,58.2
No,No,No,36,DSL,One year,No,Bank transfer (automatic),85.85,No,4,2,343.4,171.7
No,Yes,Yes,72,Fiber optic,One year,Yes,Credit card (automatic),104.9,No,4,1,419.6,104.9
Yes,No,No,34,Fiber optic,One year,Yes,Electronic check,99.85,No,2,2,199.7,199.7
No,Yes,No,8,No,Month-to-month,Yes,Bank transfer (automatic),19.55,No,0,0,0.0,0.0
No,No,No,69,Fiber optic,Two year,No,Electronic check,104.0,No,2,2,208.0,208.0
No,Yes,No,50,Fiber optic,One year,Yes,Mailed check,104.4,No,2,2,208.8,208.8
No,No,No,10,No,One year,No,Mailed check,19.5,No,0,0,0.0,0.0
No,Yes,Yes,12,No,Two year,No,Credit card (automatic),25.25,No,0,0,0.0,0.0
No,Yes,No,70,DSL,Two year,Yes,Bank transfer (automatic),49.85,No,3,1,149.55,49.85
Yes,No,No,64,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),108.95,No,3,2,326.85,217.9
No,Yes,Yes,66,DSL,Two year,No,Credit card (automatic),89.9,No,4,2,359.6,179.8
No,Yes,Yes,71,DSL,Two year,Yes,Credit card (automatic),82.0,No,3,2,246.0,164.0
Yes,No,No,20,Fiber optic,Month-to-month,No,Electronic check,89.95,No,0,2,0.0,179.9
No,Yes,No,72,DSL,Two year,Yes,Bank transfer (automatic),79.35,No,3,2,238.04999999999998,158.7
No,Yes,Yes,71,DSL,Two year,No,Credit card (automatic),64.05,No,4,0,256.2,0.0
No,Yes,Yes,38,Fiber optic,Month-to-month,Yes,Credit card (automatic),101.15,No,1,2,101.15,202.3
No,No,No,33,DSL,One year,Yes,Electronic check,39.1,No,1,1,39.1,39.1
No,Yes,Yes,23,DSL,Two year,No,Mailed check,34.6,No,2,0,69.2,0.0
No,Yes,Yes,58,No,One year,Yes,Electronic check,19.55,No,0,0,0.0,0.0
Yes,Yes,No,70,Fiber optic,Two year,Yes,Bank transfer (automatic),104.45,No,2,2,208.9,208.9
No,Yes,No,4,Fiber optic,Month-to-month,No,Electronic check,70.5,No,0,0,0.0,0.0
No,Yes,Yes,45,No,Two year,No,Mailed check,20.35,No,0,0,0.0,0.0
No,Yes,Yes,36,No,Two year,No,Credit card (automatic),19.45,No,0,0,0.0,0.0
No,No,No,54,DSL,Month-to-month,Yes,Mailed check,69.9,No,3,1,209.70000000000002,69.9
No,Yes,Yes,23,DSL,Two year,No,Mailed check,59.7,No,2,0,119.4,0.0
No,Yes,Yes,41,DSL,One year,Yes,Credit card (automatic),78.35,No,3,1,235.04999999999998,78.35
Yes,No,No,5,Fiber optic,Month-to-month,Yes,Mailed check,71.45,No,0,0,0.0,0.0
No,Yes,Yes,27,DSL,One year,Yes,Credit card (automatic),45.85,No,2,1,91.7,45.85
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,95.85,No,1,2,95.85,191.7
No,Yes,Yes,67,DSL,Two year,No,Credit card (automatic),35.7,No,2,0,71.4,0.0
Yes,Yes,Yes,72,DSL,Two year,Yes,Credit card (automatic),89.55,No,4,2,358.2,179.1
No,Yes,Yes,56,No,Two year,Yes,Credit card (automatic),24.95,No,0,0,0.0,0.0
No,Yes,Yes,44,No,One year,No,Electronic check,24.85,No,0,0,0.0,0.0
Yes,Yes,No,66,Fiber optic,Month-to-month,Yes,Electronic check,100.8,No,1,2,100.8,201.6
No,Yes,No,69,Fiber optic,Two year,No,Bank transfer (automatic),105.35,No,2,2,210.7,210.7
No,No,No,40,No,Two year,No,Credit card (automatic),19.65,No,0,0,0.0,0.0
No,Yes,Yes,30,DSL,Month-to-month,Yes,Bank transfer (automatic),54.45,No,1,0,54.45,0.0
No,No,No,11,DSL,Month-to-month,No,Mailed check,70.5,No,1,2,70.5,141.0
No,No,No,15,No,One year,No,Credit card (automatic),20.1,No,0,0,0.0,0.0
No,No,No,11,DSL,Month-to-month,Yes,Electronic check,69.35,No,1,2,69.35,138.7
No,Yes,Yes,64,No,One year,No,Bank transfer (automatic),19.8,No,0,0,0.0,0.0
Yes,Yes,No,72,DSL,Two year,No,Bank transfer (automatic),74.4,No,4,1,297.6,74.4
Yes,Yes,No,72,Fiber optic,Two year,Yes,Bank transfer (automatic),93.05,No,4,0,372.2,0.0
No,No,Yes,1,DSL,Month-to-month,No,Mailed check,51.2,No,1,0,51.2,0.0
No,No,Yes,15,DSL,One year,No,Credit card (automatic),65.6,No,4,0,262.4,0.0
No,No,No,60,DSL,One year,No,Credit card (automatic),80.55,No,2,2,161.1,161.1
No,No,No,56,DSL,One year,No,Mailed check,52.7,No,2,0,105.4,0.0
No,No,No,8,No,Two year,No,Mailed check,20.85,No,0,0,0.0,0.0
No,Yes,No,49,DSL,Month-to-month,Yes,Credit card (automatic),52.15,No,0,0,0.0,0.0
No,No,No,70,Fiber optic,Two year,Yes,Bank transfer (automatic),114.95,No,4,2,459.8,229.9
Yes,Yes,No,52,Fiber optic,One year,Yes,Bank transfer (automatic),104.45,No,3,2,313.35,208.9
No,Yes,No,72,Fiber optic,Two year,Yes,Credit card (automatic),113.65,No,4,2,454.6,227.3
No,No,No,40,No,Two year,Yes,Bank transfer (automatic),20.6,No,0,0,0.0,0.0
Yes,No,No,40,Fiber optic,Month-to-month,Yes,Electronic check,91.55,No,0,2,0.0,183.1
No,No,Yes,1,DSL,Month-to-month,Yes,Electronic check,49.85,No,1,0,49.85,0.0
No,Yes,No,30,No,One year,No,Credit card (automatic),19.8,No,0,0,0.0,0.0
Yes,Yes,No,44,Fiber optic,Month-to-month,No,Electronic check,104.15,No,2,2,208.3,208.3
Yes,No,No,7,DSL,Month-to-month,Yes,Electronic check,48.2,No,1,0,48.2,0.0
Yes,No,No,72,No,Two year,Yes,Credit card (automatic),25.1,No,0,0,0.0,0.0
Yes,No,No,8,Fiber optic,Month-to-month,Yes,Credit card (automatic),100.15,No,1,2,100.15,200.3
No,No,Yes,3,DSL,Month-to-month,No,Mailed check,55.9,No,2,0,111.8,0.0
Yes,Yes,No,8,DSL,Month-to-month,Yes,Credit card (automatic),64.4,No,2,1,128.8,64.4
No,No,No,5,Fiber optic,Month-to-month,Yes,Mailed check,85.3,No,1,1,85.3,85.3
No,Yes,Yes,72,Fiber optic,Two year,No,Mailed check,107.45,No,3,2,322.35,214.9
No,Yes,Yes,54,DSL,Two year,No,Credit card (automatic),91.3,No,4,2,365.2,182.6
No,Yes,No,72,DSL,Two year,No,Bank transfer (automatic),85.95,No,3,2,257.85,171.9
Yes,No,No,1,DSL,Month-to-month,No,Electronic check,45.2,No,0,0,0.0,0.0
No,Yes,Yes,69,Fiber optic,Two year,Yes,Credit card (automatic),79.2,No,1,0,79.2,0.0
No,No,No,48,DSL,Two year,No,Credit card (automatic),55.5,No,2,0,111.0,0.0
No,Yes,No,8,Fiber optic,Month-to-month,Yes,Electronic check,90.25,No,1,1,90.25,90.25
No,Yes,Yes,71,DSL,Two year,Yes,Mailed check,91.25,No,4,2,365.0,182.5
No,Yes,No,67,Fiber optic,One year,Yes,Credit card (automatic),100.9,No,2,2,201.8,201.8
No,Yes,Yes,34,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.7,No,1,2,97.7,195.4
No,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,69.85,No,0,0,0.0,0.0
No,Yes,Yes,9,DSL,One year,Yes,Mailed check,65.6,No,2,1,131.2,65.6
No,Yes,Yes,71,Fiber optic,One year,Yes,Bank transfer (automatic),104.65,No,3,2,313.95000000000005,209.3
No,No,No,57,Fiber optic,Two year,Yes,Credit card (automatic),90.45,No,1,1,90.45,90.45
No,No,No,72,DSL,Two year,Yes,Bank transfer (automatic),63.7,No,4,2,254.8,127.4
Yes,Yes,Yes,48,Fiber optic,Month-to-month,Yes,Electronic check,104.5,No,3,2,313.5,209.0
No,No,No,18,No,One year,No,Mailed check,20.1,No,0,0,0.0,0.0
No,Yes,Yes,43,Fiber optic,One year,Yes,Credit card (automatic),104.3,No,2,2,208.6,208.6
No,Yes,Yes,72,DSL,Two year,Yes,Bank transfer (automatic),93.25,No,4,2,373.0,186.5
No,Yes,Yes,35,DSL,One year,Yes,Bank transfer (automatic),73.45,No,1,2,73.45,146.9
No,No,No,4,No,Month-to-month,No,Mailed check,20.7,No,0,0,0.0,0.0
No,Yes,Yes,49,No,Two year,No,Mailed check,25.25,No,0,0,0.0,0.0
No,Yes,Yes,71,Fiber optic,Two year,No,Bank transfer (automatic),100.5,No,3,1,301.5,100.5
No,Yes,Yes,11,Fiber optic,Month-to-month,No,Electronic check,90.6,No,0,2,0.0,181.2
No,Yes,Yes,63,DSL,Two year,Yes,Credit card (automatic),89.4,No,4,2,357.6,178.8
Yes,No,No,65,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),95.45,No,2,1,190.9,95.45
No,No,Yes,49,No,Two year,No,Credit card (automatic),20.45,No,0,0,0.0,0.0
No,Yes,Yes,4,No,Month-to-month,Yes,Electronic check,19.95,No,0,0,0.0,0.0
No,Yes,No,72,Fiber optic,One year,No,Credit card (automatic),109.15,No,3,2,327.45000000000005,218.3
Yes,Yes,No,26,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.7,No,1,1,85.7,85.7
Yes,Yes,No,35,Fiber optic,Month-to-month,No,Bank transfer (automatic),102.05,No,1,2,102.05,204.1
No,No,No,57,Fiber optic,One year,No,Electronic check,94.7,No,2,1,189.4,94.7
No,Yes,Yes,28,DSL,Month-to-month,No,Electronic check,64.4,No,1,1,64.4,64.4
No,Yes,No,25,No,One year,Yes,Mailed check,26.8,No,0,0,0.0,0.0
No,Yes,No,47,DSL,One year,Yes,Credit card (automatic),66.05,No,2,1,132.1,66.05
No,Yes,Yes,57,DSL,Month-to-month,No,Bank transfer (automatic),65.2,No,3,0,195.60000000000002,0.0
Yes,Yes,No,16,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.05,No,0,1,0.0,85.05
No,No,No,5,DSL,Month-to-month,Yes,Mailed check,55.8,No,2,0,111.6,0.0
No,Yes,Yes,72,No,Two year,No,Bank transfer (automatic),19.95,No,0,0,0.0,0.0
No,Yes,Yes,48,DSL,One year,No,Credit card (automatic),45.0,No,2,1,90.0,45.0
No,Yes,No,68,Fiber optic,Two year,No,Bank transfer (automatic),114.9,No,4,2,459.6,229.8
No,No,No,30,Fiber optic,Month-to-month,No,Bank transfer (automatic),106.4,No,2,2,212.8,212.8
No,Yes,No,3,DSL,Month-to-month,Yes,Mailed check,46.1,No,0,0,0.0,0.0
Yes,No,No,14,DSL,Two year,No,Mailed check,39.7,No,3,0,119.10000000000001,0.0
No,No,Yes,4,No,Month-to-month,Yes,Bank transfer (automatic),20.05,No,0,0,0.0,0.0
No,Yes,Yes,71,Fiber optic,Two year,Yes,Credit card (automatic),95.75,No,2,1,191.5,95.75
No,Yes,Yes,8,No,One year,No,Mailed check,24.4,No,0,0,0.0,0.0
No,Yes,Yes,61,DSL,Month-to-month,No,Bank transfer (automatic),33.6,No,2,0,67.2,0.0
No,Yes,Yes,72,Fiber optic,Two year,No,Bank transfer (automatic),90.45,No,3,0,271.35,0.0
No,No,No,5,Fiber optic,Month-to-month,Yes,Electronic check,84.0,No,0,1,0.0,84.0
No,No,No,49,DSL,Two year,No,Bank transfer (automatic),67.4,No,4,0,269.6,0.0
No,No,No,8,No,Month-to-month,Yes,Bank transfer (automatic),19.7,No,0,0,0.0,0.0
No,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,80.35,No,0,1,0.0,80.35
No,Yes,Yes,9,No,Two year,No,Mailed check,19.6,No,0,0,0.0,0.0
No,Yes,Yes,67,DSL,Two year,Yes,Bank transfer (automatic),54.2,No,2,0,108.4,0.0
No,No,No,46,DSL,Month-to-month,Yes,Credit card (automatic),45.2,No,0,0,0.0,0.0
No,Yes,No,67,DSL,One year,No,Mailed check,75.1,No,3,1,225.29999999999998,75.1
No,Yes,No,55,No,One year,No,Electronic check,19.7,No,0,0,0.0,0.0
